id,parameters,enc1_z,enc1_r,enc1_h,enc2_z,enc2_r,enc2_h,enc3_z,enc3_r,enc3_h,enc4_z,enc4_r,enc4_h,dec1_z,dec1_r,dec1_h,dec2_z,dec2_r,dec2_h,dec3_z,dec3_r,dec3_h,dec4_z,dec4_r,dec4_h
160,17010055,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8
161,17010823,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6
162,17010823,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6
163,17011591,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6
164,17011591,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6
165,17246599,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4
166,17246599,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8
167,17247367,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8
168,17247367,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4
169,17248135,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6
170,17482375,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8
171,17483143,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8
172,17483143,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8
173,17483911,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6
174,17601031,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8
175,17718919,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4
176,17718919,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8
177,17719687,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6
178,17720455,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8
179,17838343,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6
180,17955463,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8
181,17955463,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6
182,18074119,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4
183,18074887,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6
184,18191239,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6
185,18309895,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4
186,18310663,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8
187,18310663,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4
188,18427015,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8
189,18546439,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6
190,18546439,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6
191,18547207,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6
192,18782215,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8
193,18782983,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8
194,18782983,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6
195,19018759,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8
196,19018759,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8
197,19019527,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6
198,19255303,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8
199,19491079,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8
200,20434951,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8
